,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
6422,j,1-10-15-17,2003-06-24,m,65.0,93.0,0.0,9.6,o||b,L side R 5 m v 1 falls,-5,new,painted,,toes in vial 03-20,2003.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4307692307692308,0.14769230769230768,j1-10-15-17m,4.0,99.0,,,,,,,
5949,j,1-9-15-17,2001-07-11,f,38.0,52.0,0.0,2.0,w9a,2 triple R,335,new,,,toes in vial 01-37,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.368421052631579,0.05263157894736842,j1-9-15-17f,4.0,101.0,,,,,,,
7293,j,3-9-15-17,2007-07-16,f,40.0,53.0,0.0,1.8,y>c,wall v wall v juniper crossing,83,new,yes,,07-92,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.325,0.045,j3-9-15-17f,4.0,102.0,,,,,,,
6649,j,2-8-12-17,2004-07-02,f,55.0,81.0,0.0,5.6,wEa,sb 2 triple rock,335,recap,painted,,,2004.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4727272727272729,0.1018181818181818,j2-8-12-17f,4.0,103.0,,,,,,,
5869,j,2-6-13-18,2001-07-12,f,70.0,99.0,0.0,10.2,r27a,R wall left 8m v pool,372,recap,,,B shed; Tss,2001.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4142857142857144,0.1457142857142857,j2-6-13-18f,4.0,104.0,,,,,,,
6475,j,2-7-11-20,2003-06-28,f,30.0,38.0,0.0,1.0,o<b,sb in s-curve,280,new,painted,,lost toes,2003.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2666666666666666,0.03333333333333333,j2-7-11-20f,4.0,106.0,,,,,,,
7284,j,3-9-12-16,2007-07-16,f,39.0,53.0,0.0,1.8,yvc,2m ^ 1 falls,2,new,yes,,07-86,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.358974358974359,0.04615384615384616,j3-9-12-16f,4.0,107.0,,,,,,,
6814,j,3-8-15-16,2004-07-21,f,38.0,49.0,0.0,2.2,w150b,sb opp pine R,408,new,painted,, 04 76,2004.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2894736842105263,0.05789473684210528,j3-8-15-16f,4.0,109.0,,,,,,,
6865,j,3-9-12-16,2005-07-03,m,67.0,103.0,0.0,10.0,w1c,sb R middle 6m^trail,-40,new,painted,,05-01,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.537313432835821,0.14925373134328354,j3-9-12-16m,4.0,113.0,,,,,,,
6861,j,3-10-15-20,2005-07-22,m,37.0,49.0,0.0,1.6,wvab,rt xing,160,new,painted,, 05-77,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3243243243243243,0.04324324324324325,j3-10-15-20m,4.0,114.0,,,,,,,
7853,j,8-13-19,2013-07-14,m,75.0,102.0,0.0,14.0,o48c,mid chute,358,recap,yes,remark; recently shed; [orginally painted as o25c but ? re gender as o25c was initially recorded as F],,2013.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.36,0.18666666666666668,j8-13-19m,4.0,115.0,,,,,,,
6427,j,3-7-12-20,2003-06-26,m,68.0,76.0,25.0,11.4,oWc,top chute,362,recap,painted,,,2003.0,25.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.1176470588235294,0.16764705882352945,j3-7-12-20m,4.0,116.0,,,,,,,
6877,j,3-9-13-18,2005-07-04,m,65.0,79.0,28.0,8.8,w16t,5m v 1 falls right side bottom bowl,-5,new,painted,T rec shed; Bss,05-09,2005.0,28.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2153846153846153,0.1353846153846154,j3-9-13-18m,4.0,119.0,,,,,,,
5968,j,2-6-14-18,2001-07-14,m,45.0,60.0,0.0,3.5,r35a,halfway v wall from juniper xing,102,new,,,toes in vial 01-45,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,0.07777777777777778,j2-6-14-18m,4.0,120.0,,,,,,,
7140,j,2-9-14-16,2007-07-05,f,70.0,97.0,0.0,11.5,y7c,slab,262,new,yes,,07-06,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3857142857142857,0.16428571428571428,j2-9-14-16f,4.0,122.0,,,,,,,
7953,j,5-7-14,2015-07-06,f,67.0,89.0,0.0,10.6,w14a,slab op slab ,263,new,yes,,15-14,2015.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3283582089552242,0.1582089552238806,j5-7-14f,3.0,123.0,,,,,,,
