,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
76,FALSE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5m^2falls on left slope,5.5,NA,NA,NA,NA,r77c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,55,73,1-6-13-17,NA,2000
77,FALSE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall rt side .5m^root xing,8.4,NA,NA,NA,NA,r79c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,62,80,1-6-14-17,NA,2000
78,TRUE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2falls,15.5,NA,NA,NA,NA,r76c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,55,55,m,NA,j,81,93,5-10-11-16,NA,2000
79,FALSE,2000-03-20T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H4 [hole in wall ~.5m above sb],9,NA,NA,NA,NA,r78c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,65,83,5-10-11-19,NA,2000
80,FALSE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2m ^ rt xing,7.5,NA,NA,NA,NA,r84c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,64,80,10-13-16,NA,2000
81,FALSE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rpoint v 1falls,9,NA,NA,NA,NA,r80c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,64,89,1-6-15-17,NA,2000
82,TRUE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall on rt side v CC/CCC,17.3,NA,NA,NA,NA,r86c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,40,40,m,NA,j,83,79,1-6-15-19,NA,2000
83,TRUE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rpoint v 1falls,9,NA,NA,NA,NA,r81c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,31,31,f,NA,j,64,67,1-7-12-17,NA,2000
84,FALSE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H4,4.8,NA,NA,NA,NA,r85c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,54,74,1-7-13-17,NA,2000
85,FALSE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall v pine xing,20.8,NA,NA,NA,NA,r83c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,83,114,3-12-16,NA,2000
86,TRUE,2000-03-23T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall v wall v pine xing,9.2,NA,NA,NA,NA,r82c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,17,17,m,NA,j,71,51,4-6-12-19,NA,2000
87,FALSE,2000-03-24T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb rt side 3m ^ 2tripleR,6,NA,NA,NA,NA,r88c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,58,82,1-8-11-20,NA,2000
88,FALSE,2000-03-24T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,chute,14.8,NA,NA,NA,NA,r89c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,80,110,1-9-11-18,NA,2000
89,FALSE,2000-03-24T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3m ^ 2falls on Rs to left,5.3,NA,NA,NA,NA,r90c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,55,80,1-9-11-19,NA,2000
90,FALSE,2000-03-24T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,peak at 2falls/pool,4.6,NA,NA,NA,NA,r92c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,55,80,1-9-12-16,NA,2000
